time,fn_max,resultant_fn,resultant_ftx,resultant_fty
0.00833,0.0,0.0,0.0,0.0
0.01666,0.0,0.0,0.0,0.0
0.024990000000000002,0.0,0.0,0.0,0.0
0.03332,0.0,0.0,0.0,0.0
0.041650000000000006,0.0,0.0,0.0,0.0
0.04998000000000001,0.0,0.0,0.0,0.0
0.058310000000000015,0.0,0.0,0.0,0.0
0.06664000000000002,0.0,0.0,0.0,0.0
0.07497000000000002,0.0,0.0,0.0,0.0
0.08330000000000003,0.0,0.0,0.0,0.0
0.09163000000000003,0.0,0.0,0.0,0.0
0.09996000000000003,0.053026734420500626,1.1999040507368175,0.0,0.0
0.10829000000000004,0.028170756410050506,0.18438317866825132,0.0,0.0
0.11662000000000004,0.0219342128401508,0.08045386139191919,0.0,0.0
0.12495000000000005,0.02184471928924217,0.07982628837082642,0.0,0.0
0.13328000000000004,0.022258854464340356,0.0827080051034094,0.0,0.0
0.14161000000000004,0.02256890270713762,0.08483028793440194,0.0,0.0
0.14994000000000005,0.022774978637929016,0.08622565721018599,0.0,0.0
0.15827000000000005,0.02291222678150089,0.0871486366853921,0.0,0.0
0.16660000000000005,0.02300499055629771,0.08776970029760248,0.0,0.0
0.17493000000000006,0.023068471588794857,0.08819346128582647,0.0,0.0
0.18326000000000006,0.023112300228555815,0.08915111643600225,0.0,0.0
0.19159000000000007,0.02314274577996602,0.09348125882423028,0.0,0.0
0.19992000000000007,0.023163983609248963,0.0950509474249038,0.0,0.0
0.20825000000000007,0.02317884128905957,0.09597961573203598,0.0,0.0
0.21658000000000008,0.02318925632666878,0.09657685457408718,0.0,0.0
0.22491000000000008,0.023196567300176933,0.0969752284383771,0.0,0.0
0.2332400000000001,0.023201704323660234,0.09724623890463033,0.0,0.0
0.2415700000000001,0.023205316285760686,0.09743278514320676,0.0,0.0
0.2499000000000001,0.023207857152218278,0.09756214978803404,0.0,0.0
0.25823000000000007,0.023209645145257404,0.09765229873830104,0.0,0.0
0.2665600000000001,0.02321090364149878,0.09771532546585229,0.0,0.0
0.2748900000000001,0.023211789592741502,0.09775948811436702,0.0,0.0
0.2832200000000001,0.02321241335375713,0.09779048016233538,0.0,0.0
0.2915500000000001,0.02321285255360081,0.09781225255183412,0.0,0.0
0.2998800000000001,0.023213161818863393,0.09782755929066554,0.0,0.0
0.3082100000000001,0.023213379598724968,0.09783832600910333,0.0,0.0
0.3165400000000001,0.02321353296034661,0.09784590202696546,0.0,0.0
0.3248700000000001,0.023213640960506158,0.09785123425513362,0.0,0.0
0.3332000000000001,0.023213717017341273,0.09785498790521828,0.0,0.0
0.3415300000000001,0.023213770579297594,0.09785763063766757,0.0,0.0
0.3498600000000001,0.023213808299816695,0.09785949139969309,0.0,0.0
0.3581900000000001,0.023213834864279484,0.09786080165330599,0.0,0.0
0.3665200000000001,0.023213853572217655,0.09786172430721268,0.0,0.0
0.3748500000000001,0.023213866747255747,0.0978623740412338,0.0,0.0
0.38318000000000013,0.023213876025773048,0.09786283159461623,0.0,0.0
0.39151000000000014,0.023213882560174513,0.09786315381613273,0.0,0.0
0.39984000000000014,0.02321388716203466,0.09786338073570411,0.0,0.0
0.40817000000000014,0.023213890402902202,0.09786354054154386,0.0,0.0
0.41650000000000015,0.02321389268528943,0.09786365308380719,0.0,0.0
0.42483000000000015,0.023213894292665547,0.09786373234128834,0.0,0.0
0.43316000000000016,0.023213895424663858,0.09786378815822916,0.0,0.0
0.44149000000000016,0.023213896221876387,0.0978638274672842,0.0,0.0
0.44982000000000016,0.02321389678331528,0.09786385515070413,0.0,0.0
0.45815000000000017,0.023213897178710037,0.09786387464678317,0.0,0.0
0.4664800000000002,0.02321389745716781,0.09786388837692725,0.0,0.0
0.4748100000000002,0.023213897653272406,0.09786389804640713,0.0,0.0
0.4831400000000002,0.023213897791379588,0.09786390485615866,0.0,0.0
0.4914700000000002,0.02321389788864193,0.0978639096519418,0.0,0.0
0.4998000000000002,0.02321389795713919,0.09786391302938323,0.0,0.0
0.5081300000000002,0.023213898005378566,0.09786391540795474,0.0,0.0
0.5164600000000001,0.023213898039351276,0.09786391708306975,0.0,0.0
0.5247900000000001,0.023213898063276645,0.09786391826277376,0.0,0.0
0.53312,0.023213898080126145,0.09786391909358351,0.0,0.0
0.54145,0.02321389809199246,0.09786391967868323,0.0,0.0
0.5497799999999999,0.02321389810034933,0.09786392009074125,0.0,0.0
0.5581099999999999,0.023213898106234688,0.0978639203809343,0.0,0.0
0.5664399999999998,0.023213898110379463,0.09786392058530338,0.0,0.0
0.5747699999999998,0.02321389811329844,0.09786392072923106,0.0,0.0
0.5830999999999997,0.023213898115354126,0.09786392083059232,0.0,0.0
0.5914299999999997,0.023213898116801853,0.09786392090197611,0.0,0.0
0.5997599999999996,0.023213898117821423,0.09786392095224865,0.0,0.0
0.6080899999999996,0.023213898118539446,0.0978639209876531,0.0,0.0
0.6164199999999995,0.023213898119045128,0.09786392101258685,0.0,0.0
0.6247499999999995,0.023213898119401246,0.09786392103014646,0.0,0.0
0.6330799999999994,0.02321389811965205,0.09786392104251264,0.0,0.0
0.6414099999999994,0.02321389811982868,0.09786392105122188,0.0,0.0
0.6497399999999993,0.02321389811995307,0.09786392105735534,0.0,0.0
0.6580699999999993,0.023213898120040672,0.09786392106167481,0.0,0.0
0.6663999999999992,0.023213898120102362,0.09786392106471671,0.0,0.0
0.6747299999999992,0.02321389812014581,0.09786392106685918,0.0,0.0
0.6830599999999991,0.023213898120176414,0.09786392106836775,0.0,0.0
0.6913899999999991,0.023213898120197952,0.09786392106943015,0.0,0.0
0.699719999999999,0.023213898120213135,0.09786392107017852,0.0,0.0
0.708049999999999,0.023213898120223828,0.09786392107070556,0.0,0.0
0.7163799999999989,0.023213898120231353,0.09786392107107685,0.0,0.0
0.7247099999999989,0.023213898120236647,0.09786392107133796,0.0,0.0
0.7330399999999988,0.02321389812024039,0.09786392107152218,0.0,0.0
0.7413699999999988,0.023213898120243014,0.09786392107165165,0.0,0.0
0.7496999999999987,0.02321389812024487,0.09786392107174328,0.0,0.0
0.7580299999999986,0.02321389812024616,0.09786392107180718,0.0,0.0
0.7663599999999986,0.023213898120247087,0.09786392107185285,0.0,0.0
0.7746899999999985,0.023213898120247732,0.09786392107188448,0.0,0.0
0.7830199999999985,0.02321389812024819,0.09786392107190695,0.0,0.0
0.7913499999999984,0.02321389812024851,0.0978639210719229,0.0,0.0
0.7996799999999984,0.02321389812024873,0.0978639210719338,0.0,0.0
0.8080099999999983,0.023213898120248894,0.09786392107194176,0.0,0.0
0.8163399999999983,0.023213898120249005,0.09786392107194751,0.0,0.0
0.8246699999999982,0.02321389812024908,0.09786392107195134,0.0,0.0
0.8329999999999982,0.023213898120249144,0.097863921071954,0.0,0.0
0.8413299999999981,0.02321389812024918,0.09786392107195593,0.0,0.0
0.8496599999999981,0.02321389812024921,0.09786392107195714,0.0,0.0
0.857989999999998,0.023213898120249224,0.09786392107195821,0.0,0.0
0.866319999999998,0.023213898120249245,0.09786392107195883,0.0,0.0
0.8746499999999979,0.023213898120249245,0.09786392107195942,0.0,0.0
0.8829799999999979,0.023213898120249255,0.09786392107195976,0.0,0.0
0.8913099999999978,0.02321389812024927,0.09786392107195993,0.0,0.0
0.8996399999999978,0.02321389812024927,0.09786392107195993,0.0,0.0
0.9079699999999977,0.02321389812024927,0.09786392107196029,0.0,0.0
0.9162999999999977,0.023213898120249276,0.0978639210719603,0.0,0.0
0.9246299999999976,0.023213898120249276,0.0978639210719603,0.0,0.0
0.9329599999999976,0.023213898120249273,0.09786392107196047,0.0,0.0
0.9412899999999975,0.02321389812024927,0.09786392107196029,0.0,0.0
0.9496199999999975,0.023213898120249273,0.09786392107196047,0.0,0.0
0.9579499999999974,0.023213898120249273,0.09786392107196047,0.0,0.0
0.9662799999999974,0.023213898120249273,0.09786392107196047,0.0,0.0
0.9746099999999973,0.023213898120249273,0.09786392107196047,0.0,0.0
0.9829399999999973,0.023213898120249273,0.09786392107196047,0.0,0.0
0.9912699999999972,0.023213898120249273,0.09786392107196047,0.0,0.0
0.9995999999999972,0.023213898120249273,0.09786392107196047,0.0,0.0
1.007929999999997,0.023213898120249273,0.09786392107196047,0.0,0.0
1.016259999999997,0.023213898120249273,0.09786392107196047,0.0,0.0
1.024589999999997,0.023213898120249273,0.09786392107196047,0.0,0.0
1.032919999999997,0.023213898120249273,0.09786392107196047,0.0,0.0
1.041249999999997,0.023213898120249273,0.09786392107196047,0.0,0.0
1.0495799999999968,0.023213898120249273,0.09786392107196047,0.0,0.0
1.0579099999999968,0.023213898120249273,0.09786392107196047,0.0,0.0
1.0662399999999967,0.023213898120249273,0.09786392107196047,0.0,0.0
1.0745699999999967,0.023213898120249273,0.09786392107196047,0.0,0.0
1.0828999999999966,0.023213898120249273,0.09786392107196047,0.0,0.0
1.0912299999999966,0.023213898120249273,0.09786392107196047,0.0,0.0
1.0995599999999965,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1078899999999965,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1162199999999964,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1245499999999964,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1328799999999963,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1412099999999963,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1495399999999962,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1578699999999962,0.023213898120249273,0.09786392107196047,0.0,0.0
1.1661999999999961,0.023213898120249273,0.09786392107196047,0.0,0.0
1.174529999999996,0.023213898120249273,0.09786392107196047,0.0,0.0
1.182859999999996,0.023213898120249273,0.09786392107196047,0.0,0.0
1.191189999999996,0.023213898120249273,0.09786392107196047,0.0,0.0
1.199519999999996,0.023213898120249273,0.09786392107196047,0.0,0.0
